actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,rr,slow_ema,symbol,tcc,time,trend,ttf,volume,win
-3.75,0,0,TRUE,24/01/2024,0,600,5,M1,5.71,8,FingerTrap,1168103890,0,1.5,20,USDCAD-T,50,40:00.6,3,M5,0.08,FALSE
-3.75,0,0,TRUE,24/01/2024,0,600,5,M1,7.62,8,FingerTrap,1168103891,0,2,20,USDCAD-T,50,40:00.7,3,M5,0.08,FALSE
-4,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168104100,0,2.5,20,AUDUSD-T,50,42:00.5,3,M5,0.1,FALSE
-4,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168104102,0,1.5,20,AUDUSD-T,50,42:00.6,3,M5,0.1,FALSE
9.5,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168104101,0,2.5,20,NZDUSD-T,50,08:42:01,3,M5,0.05,TRUE
-4,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168104103,0,2,20,AUDUSD-T,50,42:00.8,3,M5,0.1,FALSE
5.75,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168104104,0,1.5,20,NZDUSD-T,50,08:42:01,3,M5,0.05,TRUE
7.6,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168104105,0,2,20,NZDUSD-T,50,08:42:01,3,M5,0.05,TRUE
-4.03,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168104138,0,2.5,20,USDJPY-T,50,43:00.3,3,M5,0.18,FALSE
-4.03,0,0,TRUE,24/01/2024,0,600,5,M1,5.86,8,FingerTrap,1168104139,0,1.5,20,USDJPY-T,50,43:00.4,3,M5,0.18,FALSE
-4.03,0,0,TRUE,24/01/2024,0,600,5,M1,7.81,8,FingerTrap,1168104140,0,2,20,USDJPY-T,50,43:00.5,3,M5,0.18,FALSE
9.5,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168104875,0,2.5,20,NZDUSD-T,50,08:55:01,3,M5,0.05,TRUE
-5.94,0,0,TRUE,24/01/2024,0,600,5,M1,9.9,8,FingerTrap,1168104880,0,2.5,20,EURUSD-T,50,55:00.6,3,M5,0.33,FALSE
-6.93,0,0,TRUE,24/01/2024,0,600,5,M1,5.94,8,FingerTrap,1168104883,0,1.5,20,EURUSD-T,50,55:00.7,3,M5,0.33,FALSE
