actual_profit,ask,bid,closed,closer,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,slow_ema,symbol,tcc,time,ttf,volume,win
0,235887.59,235837.26,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981400864,1440,5,M5,6.0,8,FingerTrap,5084268281,235887.59,20,Volatility 75 Index,720,11:00:02.457895,H1,0.001,False
0,2280.642,2280.49,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981403470,1440,5,M5,6.0,8,FingerTrap,5084270945,2280.49,20,Volatility 25 Index,720,11:05:02.342860,H1,0.5,False
0,543933.41,543897.0,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981409351,1440,5,M5,6.0,8,FingerTrap,5084276889,543933.41,20,Volatility 25 (1s) Index,720,11:15:02.298881,H1,0.005,False
0,9704.02,9703.76,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981414673,1440,5,M5,6.0,8,FingerTrap,5084282225,9704.02,20,Volatility 10 (1s) Index,720,11:25:01.277980,H1,0.5,False
0,1500.93,1500.48,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981417241,1440,5,M5,6.0,8,FingerTrap,5084284773,1500.93,20,Volatility 100 (1s) Index,720,11:30:01.833427,H1,0.2,False
0,6650.815,6650.641,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981422323,1440,5,M5,6.0,8,FingerTrap,5084289897,6650.815,20,Volatility 10 Index,720,11:40:02.242521,H1,0.5,False
0,8439.29,8437.88,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981446250,1440,5,M5,6.0,8,FingerTrap,5084314028,8437.88,20,Volatility 75 (1s) Index,720,12:25:01.325702,H1,0.05,False
0,545677.65,545641.24,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981449171,1440,5,M5,6.0,8,FingerTrap,5084316961,545677.65,20,Volatility 25 (1s) Index,720,12:30:01.484813,H1,0.005,False
0,9702.38,9702.12,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981452016,1440,5,M5,6.0,8,FingerTrap,5084319823,9702.38,20,Volatility 10 (1s) Index,720,12:35:01.201821,H1,0.5,False
0,2271.799,2271.647,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981458112,1440,5,M5,6.0,8,FingerTrap,5084325964,2271.647,20,Volatility 25 Index,720,12:45:02.494592,H1,0.5,False
0,545828.91,545792.5,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981467719,1440,5,M5,6.0,8,FingerTrap,5084335544,545828.91,20,Volatility 25 (1s) Index,720,13:00:03.108922,H1,0.005,False
0,261.3943,261.3593,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981518334,1440,5,M5,6.0,8,FingerTrap,5084386215,261.3593,20,Volatility 50 Index,720,14:20:02.280965,H1,4.0,False
0,2267.1,2266.948,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981529353,1440,5,M5,6.0,8,FingerTrap,5084397295,2266.948,20,Volatility 25 Index,720,14:40:02.287856,H1,0.5,False
0,6641.8,6641.626,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981532309,1440,5,M5,6.0,8,FingerTrap,5084400268,6641.8,20,Volatility 10 Index,720,14:45:02.218793,H1,0.5,False
0,546475.03,546438.62,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981548796,1440,5,M5,6.0,8,FingerTrap,5084416873,546475.03,20,Volatility 25 (1s) Index,720,15:10:01.260087,H1,0.005,False
0,2272.579,2272.427,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981554826,1440,5,M5,6.0,8,FingerTrap,5084422935,2272.427,20,Volatility 25 Index,720,15:20:02.287424,H1,0.5,False
0,258.5838,258.5488,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981560204,1440,5,M5,6.0,8,FingerTrap,5084428407,258.5488,20,Volatility 50 Index,720,15:30:02.518374,H1,4.0,False
