actual_profit,ask,bid,closed,closer,date,deal,ecc,etf,expected_profit,first_ema,name,order,price,rsi_length,second_ema,sma_length,symbol,tcc,time,trend,ttf,volume,win
0,9659.66,9659.4,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3759393456,2880,M15,12.0,8,Momentum,3844527549,9659.66,9,16,15,Volatility 10 (1s) Index,720,19:00:02.226563,2,H4,0.5,False
0,547140.96,547104.55,False,<function ema_closer at 0x00000144B85F2520>,2024-04-04,3759687798,2880,M15,12.0,8,Momentum,3844828192,547140.96,9,16,15,Volatility 25 (1s) Index,720,00:15:02.221104,2,H4,0.005,False
0,261.1388,261.1038,False,<function ema_closer at 0x00000144B85F2520>,2024-04-04,3759735948,2880,M15,12.0,8,Momentum,3844877364,261.1038,9,16,15,Volatility 50 Index,720,01:30:02.684969,2,H4,4.0,False
0,1448.68,1448.23,False,<function ema_closer at 0x00000144B85F2520>,2024-04-04,3759775647,2880,M15,12.0,8,Momentum,3844918172,1448.23,9,16,15,Volatility 100 (1s) Index,720,02:45:01.413570,2,H4,0.2,False
0,547633.91,547597.5,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3759941566,2880,M15,12.0,8,Momentum,3845089114,547633.91,9,16,15,Volatility 25 (1s) Index,720,06:30:01.226733,2,H4,0.005,False
0,191581.67,191559.36,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760018767,2880,M15,12.0,8,Momentum,3845168396,191581.67,9,16,15,Volatility 50 (1s) Index,720,07:45:02.273656,2,H4,0.005,False
0,233704.37,233654.04,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760049893,2880,M15,12.0,8,Momentum,3845200239,233704.37,9,16,15,Volatility 75 Index,720,08:15:02.620956,2,H4,0.001,False
0,2273.925,2273.773,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760066007,2880,M15,12.0,8,Momentum,3845216522,2273.773,9,16,15,Volatility 25 Index,720,08:30:02.651043,2,H4,0.5,False
0,260.6374,260.6024,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760262407,2880,M15,12.0,8,Momentum,3845415726,260.6024,9,16,15,Volatility 50 Index,720,11:30:04.214280,2,H4,4.0,False
0,188666.49,188644.18,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760312530,2880,M15,12.0,8,Momentum,3845467137,188666.49,9,16,15,Volatility 50 (1s) Index,720,12:15:02.207944,2,H4,0.005,False
0,259.6839,259.6489,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760525076,2880,M15,12.0,8,Momentum,3845685265,259.6489,9,16,15,Volatility 50 Index,720,15:00:04.397185,2,H4,4.0,False
0,8331.95,8330.54,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760912752,2880,M15,12.0,8,Momentum,3846086703,8330.54,9,16,15,Volatility 75 (1s) Index,720,20:00:01.289158,2,H4,0.05,False
0,1618.53,1618.08,False,<function ema_closer at 0x000001AB05582520>,2024-04-04,3760947849,2880,M15,12.0,8,Momentum,3846123592,1618.53,9,16,15,Volatility 100 (1s) Index,720,20:30:02.220125,2,H4,0.2,False
0,6547.677,6547.503,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761144593,2880,M15,12.0,8,Momentum,3846330005,6547.503,9,16,15,Volatility 10 Index,720,00:30:02.244945,2,H4,0.5,False
0,189021.5,188999.19,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761241114,2880,M15,12.0,8,Momentum,3846430031,189021.5,9,16,15,Volatility 50 (1s) Index,720,03:00:02.280320,2,H4,0.005,False
0,2267.11,2266.958,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761250457,2880,M15,12.0,8,Momentum,3846439666,2266.958,9,16,15,Volatility 25 Index,720,03:15:02.215549,2,H4,0.5,False
0,9646.04,9645.78,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761260740,2880,M15,12.0,8,Momentum,3846450325,9645.78,9,16,15,Volatility 10 (1s) Index,720,03:30:01.305514,2,H4,0.5,False
0,6542.871,6542.697,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761303686,2880,M15,12.0,8,Momentum,3846493635,6542.697,9,16,15,Volatility 10 Index,720,04:30:02.306199,2,H4,0.5,False
0,8183.53,8182.12,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761378991,2880,M15,12.0,8,Momentum,3846570151,8182.12,9,16,15,Volatility 75 (1s) Index,720,06:00:02.398969,2,H4,0.05,False
