actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,slow_ema,symbol,tcc,time,trend,ttf,used_fractal,volume,win
0,513958.61,513928.77,False,2024-01-24,1940776130,600,5,M5,23.96,8,FingerFractal,5041982127,513928.77,20,Volatility 25 (1s) Index,50,11:15:00.576689,3,H1,True,0.01,False
0,6759.102,6758.939,False,2024-01-24,1940789829,600,5,M5,23.97,8,FingerFractal,5041997137,6758.939,20,Volatility 10 Index,50,11:50:00.332125,3,H1,True,4.44,False
0,8335.0,8333.47,False,2024-01-24,1940799077,600,5,M5,23.89,8,FingerFractal,5042007300,8335.0,20,Volatility 75 (1s) Index,50,12:15:00.351081,3,H1,True,0.195,False
0,9380.82,9380.6,False,2024-01-24,1940800857,600,5,M5,23.94,8,FingerFractal,5042009327,9380.82,20,Volatility 10 (1s) Index,50,12:20:00.333119,3,H1,True,2.38,False
0,514463.6,514433.76,False,2024-01-24,1940802756,600,5,M5,22.78,8,FingerFractal,5042011486,514433.76,20,Volatility 25 (1s) Index,50,12:25:00.420359,3,H1,True,0.014,False
0,230.8978,230.8688,False,2024-01-24,1940806302,600,5,M5,23.99,8,FingerFractal,5042015555,230.8688,20,Volatility 50 Index,50,12:35:00.492076,3,H1,True,15.94,False
0,1960.208,1960.089,False,2024-01-24,1940809759,600,5,M5,23.96,8,FingerFractal,5042019430,1960.089,20,Volatility 25 Index,50,12:45:00.820564,3,H1,True,5.68,False
0,9385.26,9385.04,False,2024-01-24,1940815552,600,5,M5,23.97,8,FingerFractal,5042025522,9385.26,20,Volatility 10 (1s) Index,50,13:00:02.038718,3,H1,True,3.71,False
0,8363.03,8361.5,False,2024-01-24,1940821710,600,5,M5,23.9,8,FingerFractal,5042032372,8363.03,20,Volatility 75 (1s) Index,50,13:15:00.422935,3,H1,True,0.228,False
0,229.5307,229.5017,False,2024-01-24,1940825702,600,5,M5,23.99,8,FingerFractal,5042036730,229.5017,20,Volatility 50 Index,50,13:25:00.324684,3,H1,True,12.94,False
0,259454.01,259401.01,False,2024-01-24,1940827619,600,5,M5,22.25,8,FingerFractal,5042038876,259454.01,20,Volatility 75 Index,50,13:30:00.578092,3,H1,True,0.006,False
0,209050.62,209027.88,False,2024-01-24,1940842925,600,5,M5,23.95,8,FingerFractal,5042055822,209050.62,20,Volatility 50 (1s) Index,50,14:10:00.309476,3,H1,True,0.031,False
0,228.8433,228.8143,False,2024-01-24,1940844724,600,5,M5,23.98,8,FingerFractal,5042057726,228.8143,20,Volatility 50 Index,50,14:15:00.714123,3,H1,True,11.35,False
0,1974.188,1974.069,False,2024-01-24,1940844725,600,5,M5,23.97,8,FingerFractal,5042057728,1974.188,20,Volatility 25 Index,50,14:15:00.776624,3,H1,True,6.8100000000000005,False
0,1975.277,1975.158,False,2024-01-24,1940865115,600,5,M5,23.95,8,FingerFractal,5042079735,1975.277,20,Volatility 25 Index,50,15:00:02.204113,3,H1,True,4.61,False
0,6762.268,6762.105,False,2024-01-24,1940869597,600,5,M5,23.93,8,FingerFractal,5042084616,6762.105,20,Volatility 10 Index,50,15:10:00.291766,3,H1,True,1.53,False
0,228.8638,228.8348,False,2024-01-24,1940869599,600,5,M5,24.0,8,FingerFractal,5042084618,228.8348,20,Volatility 50 Index,50,15:10:00.385307,3,H1,True,66.48,False
0,210143.1,210120.36,False,2024-01-24,1940869601,600,5,M5,23.71,8,FingerFractal,5042084619,210143.1,20,Volatility 50 (1s) Index,50,15:10:00.385307,3,H1,True,0.037,False
0,9358.2,9357.98,False,2024-01-24,1940889801,600,5,M5,23.91,8,FingerFractal,5042106298,9357.98,20,Volatility 10 (1s) Index,50,16:00:03.048524,3,H1,True,2.45,False
0,514863.66,514833.82,False,2024-01-24,1940898932,600,5,M5,23.22,8,FingerFractal,5042115868,514833.82,20,Volatility 25 (1s) Index,50,16:20:00.348523,3,H1,True,0.015,False
0,6765.368,6765.205,False,2024-01-24,1940902454,600,5,M5,24.0,8,FingerFractal,5042119681,6765.205,20,Volatility 10 Index,50,16:30:00.670069,3,H1,True,11.31,False
0,210111.73,210088.99,False,2024-01-24,1940904353,600,5,M5,23.94,8,FingerFractal,5042121707,210111.73,20,Volatility 50 (1s) Index,50,16:35:00.422663,3,H1,True,0.051,False
0,6764.313,6764.15,False,2024-01-24,1940914973,600,5,M5,23.99,8,FingerFractal,5042133137,6764.15,20,Volatility 10 Index,50,17:00:03.163551,3,H1,True,3.81,False
0,9338.14,9337.92,False,2024-01-24,1940923159,600,5,M5,23.91,8,FingerFractal,5042141964,9337.92,20,Volatility 10 (1s) Index,50,17:20:00.387763,3,H1,True,0.81,False
0,228.9842,228.9552,False,2024-01-24,1940923160,600,5,M5,24.0,8,FingerFractal,5042141966,228.9552,20,Volatility 50 Index,50,17:20:00.439037,3,H1,True,26.68,False
